Filename, Label, Duration, Maximum pitch (Hz)
achachchir_n,u,0.05136964005281025,107.32011016482625
achachchir_n,s ,0.2719341149269289,113.54049700885825
achachchir_n,u,0.3488484190521508,107.40057218893529
adaddis,u ,0.11427497939799508,95.84631951306754
adaddis,s,0.2354339936994838,99.96882579391662
adaddis,u,0.327680061406299,144.19952034076596
demammak,u,0.1005069095910077,116.18178634546572
demammak,s,0.21841223362881917,122.96215671145146
demammak,u,0.2989798574831509,110.79274202921668
regaggim_n,u,0.15468127106816798,113.24213937353844
regaggim_n,s,0.29204951439463606,112.3893006711462
regaggim_n,u,0.2908606763197443,104.8726946173222
safaffi,u,0.28910360839352206,123.8179471609799
safaffi,s,0.2932911724010415,112.22860453206194
safaffi,u,0.16589050156079488,153.0349830082851
