Filename, Label, Prev. syl, Next syl.,  Duration (s), Maximum pitch (Hz), Minimum pitch (Hz), Mean intensity (dB)
achachchir_n,u, , s , 0.05136964005281025,107.32011016482625, 104.38482846302377, 44.86546091331488
achachchir_n,s , u, u, 0.2719341149269289,113.54049700885825, 104.70980780491523, 46.57854758955804
achachchir_n,u, s , , 0.3488484190521508,107.40057218893529, 88.44412066015191, 40.40676750247149
adaddis,u , , s, 0.11427497939799508,95.84631951306754, 93.99623430400783, 47.5054405718768
adaddis,s, u , u, 0.2354339936994838,99.96882579391662, 87.30902330352299, 45.30896230773213
adaddis,u, s, , 0.327680061406299,144.19952034076596, 89.60791238533979, 39.07206898972245
demammak,u, , s, 0.1005069095910077,116.18178634546572, 95.4494723797112, 57.174095987533754
demammak,s, u, u, 0.21841223362881917,122.96215671145146, 110.12317093148009, 58.33417913634709
demammak,u, s, , 0.2989798574831509,110.79274202921668, 96.73924429495497, 43.376037364550186
regaggim_n,u, , s, 0.15468127106816798,113.24213937353844, 106.10812053544554, 50.38350398892658
regaggim_n,s, u, u, 0.29204951439463606,112.3893006711462, 89.60268925728543, 50.25260933019385
regaggim_n,u, s, , 0.2908606763197443,104.8726946173222, 86.81158273946373, 43.493004064313666
safaffi,u, , s, 0.28910360839352206,123.8179471609799, 106.05609521013234, 42.31563992869817
safaffi,s, u, u, 0.2932911724010415,112.22860453206194, 107.13414646111302, 46.80040891492721
safaffi,u, s, , 0.16589050156079488,153.0349830082851, 134.49182873789752, 40.14941363872763
